chr	start	end	intensity	experiment
chr10	120285000	120395000	24	plusE2
chr10	76575000	76655000	30	plusE2
chr10	59225000	59285000	40	plusE2
chr10	58805000	59155000	45	plusE2
chr10	62275000	62385000	50	plusE2
chr10	102875000	103195000	25	plusE2
chr10	96645000	96725000	25	plusE2
chr10	85385000	85535000	25	plusE2
chr10	59625000	59815000	25	plusE2
chr10	59305000	59875000	25	plusE2
chr10	43175000	43435000	25	plusE2
chr10	17255000	17725000	25	plusE2
chr10	10755000	10865000	25	plusE2
chr10	8835000	8925000	25	plusE2
chr10	4115000	4265000	25	plusE2
chr10	119795000	120205000	24	plusE2
chr10	102565000	102675000	24	plusE2
chr10	95555000	95695000	24	plusE2
chr10	94215000	94405000	24	plusE2
chr10	73105000	74465000	24	plusE2
chr10	71125000	71215000	24	plusE2
chr10	67725000	67855000	24	plusE2
chr10	57745000	58255000	24	plusE2
chr10	57525000	58265000	24	plusE2
chr10	41695000	42295000	24	plusE2
chr10	36525000	36695000	24	plusE2
chr10	26495000	26895000	24	plusE2
chr10	18845000	19015000	24	plusE2
chr10	14015000	14135000	24	plusE2
chr10	13205000	13415000	24	plusE2
chr10	12695000	12865000	24	plusE2
chr10	8045000	8165000	24	plusE2
chr10	6885000	7185000	24	plusE2
chr10	112075000	112145000	23	plusE2
chr10	100025000	100125000	23	plusE2
chr10	93885000	94005000	23	plusE2
chr10	93875000	93985000	23	plusE2
chr10	91295000	91545000	23	plusE2
chr10	88985000	89125000	23	plusE2
chr10	87215000	87315000	23	plusE2
chr10	76305000	76405000	23	plusE2
chr10	69665000	69965000	23	plusE2
chr10	45385000	45485000	23	plusE2
chr10	26375000	26995000	23	plusE2
chr10	15305000	17725000	23	plusE2
chr10	5225000	5325000	23	plusE2
chr10	123265000	126875000	22	plusE2
chr10	120445000	120695000	22	plusE2
chr10	119655000	120125000	22	plusE2
chr10	118615000	118865000	22	plusE2
chr10	118595000	118725000	22	plusE2
chr10	107435000	107745000	22	plusE2
chr10	100605000	102155000	22	plusE2
chr10	96625000	97165000	22	plusE2
chr10	94695000	94945000	22	plusE2
chr10	93065000	93285000	22	plusE2
chr10	90085000	91035000	22	plusE2
chr10	88505000	88725000	22	plusE2
